Title,Latitude,Jitter,New_Latitude,Longitude,Jitter,New_Longitude
Cupid,34.219916,0.000001,34.219917,-77.879318,,-77.879318
Billy,34.219916,0.000002,34.219918,-77.879318,,-77.879318
Dave,34.219916,0.000003,34.219919,-77.879318,,-77.879318
Lucy,34.219916,0.000004,34.21992,-77.879318,,-77.879318
Paris,34.219916,0.000005,34.219921,-77.879318,,-77.879318
William,34.219916,0.000006,34.219922,-77.879318,,-77.879318
Peter,34.219916,0.000007,34.219923,-77.879318,,-77.879318
Lydia,34.219916,0.000008,34.219924,-77.879318,,-77.879318
Hannah,34.219916,0.000009,34.219925,-77.879318,,-77.879318
Jim,34.219916,0.00001,34.219926,-77.879318,,-77.879318
Anthony,34.219916,0.000011,34.219927,-77.879318,,-77.879318
Redick,34.219916,0.000012,34.219928,-77.879318,,-77.879318
Sam,34.219916,0.000013,34.219929,-77.879318,,-77.879318
Sandy,34.219916,,34.219916,-77.879318,0.000001,-77.879317
John,34.219916,,34.219916,-77.879318,0.000002,-77.879316
Simon,34.219916,,34.219916,-77.879318,0.000003,-77.879315
Harry,34.219916,,34.219916,-77.879318,0.000004,-77.879314
Burwell,34.219916,,34.219916,-77.879318,0.000005,-77.879313
Ben,34.219916,,34.219916,-77.879318,0.000006,-77.879312
Romeo,34.219916,,34.219916,-77.879318,0.000007,-77.879311
Jane,34.219916,,34.219916,-77.879318,0.000008,-77.87931
James,34.219916,,34.219916,-77.879318,0.000009,-77.879309
Job,34.219916,,34.219916,-77.879318,0.00001,-77.879308
Julius,34.219916,,34.219916,-77.879318,0.000011,-77.879307
Kitty,34.219916,,34.219916,-77.879318,0.000012,-77.879306
Margaret,34.219916,,34.219916,-77.879318,0.000013,-77.879305
Morris,34.219916,,34.219916,-77.879318,0.000014,-77.879304
Nancy,34.219916,,34.219916,-77.879318,0.000015,-77.879303
Philip,34.219916,,34.219916,-77.879318,0.000016,-77.879302
Roger,34.219916,,34.219916,-77.879318,0.000017,-77.879301
Edward,34.219916,,34.219916,-77.879318,0.000018,-77.8793
Absalom,34.219916,,34.219916,-77.879318,0.000019,-77.879299
Gilbert,34.219916,,34.219916,-77.879318,0.00002,-77.879298
Isaac,34.219916,,34.219916,-77.879318,0.000021,-77.879297
Caesar,34.219916,,34.219916,-77.879318,0.000022,-77.879296
Jack,34.219916,0.000001,34.219917,-77.879318,,-77.879318
William,34.541195,0.000002,34.541197,-77.922368,,-77.922368
Adam,34.632898,0.000003,34.632901,-79.001653,,-79.001653
Charles,34.632898,0.000004,34.632902,-79.001653,,-79.001653
Atta,34.632898,0.000005,34.632903,-79.001653,,-79.001653
Isaac,34.632898,0.000006,34.632904,-79.001653,,-79.001653
Andrew,34.632898,0.000007,34.632905,-79.001653,,-79.001653
Jerry,34.632898,0.000008,34.632906,-79.001653,,-79.001653
Ben,34.632898,0.000009,34.632907,-79.001653,,-79.001653
Shadrack,34.632898,0.00001,34.632908,-79.001653,,-79.001653
Ralph,34.632898,0.000011,34.632909,-79.001653,,-79.001653
Moses,34.632898,0.000012,34.63291,-79.001653,,-79.001653
Dick,34.632898,0.000013,34.632911,-79.001653,,-79.001653
Mathias,34.632898,,34.632898,-79.001653,0.000001,-79.001652
Carlisle,34.632898,,34.632898,-79.001653,0.000002,-79.001651
Alfred,34.632898,,34.632898,-79.001653,0.000003,-79.00165
Sandy,34.632898,,34.632898,-79.001653,0.000004,-79.001649
Collins,34.767382,0.000001,34.767383,-77.425318,,-77.425318
Anthony,34.767382,0.000002,34.767384,-77.425318,,-77.425318
Lodrick,34.767382,0.000003,34.767385,-77.425318,,-77.425318
Linkfield,34.767382,0.000004,34.767386,-77.425318,,-77.425318
Sal,34.767382,0.000005,34.767387,-77.425318,,-77.425318
Virgil,34.767382,0.000006,34.767388,-77.425318,,-77.425318
Carry,34.767382,0.000007,34.767389,-77.425318,,-77.425318
Betty,34.767382,0.000008,34.76739,-77.425318,,-77.425318
Hannah,34.767382,0.000009,34.767391,-77.425318,,-77.425318
Isaac,34.767382,0.00001,34.767392,-77.425318,,-77.425318
Peter,34.767382,,34.767382,-77.425318,0.000001,-77.425317
George,34.767382,,34.767382,-77.425318,0.000002,-77.425316
Maria,34.767382,,34.767382,-77.425318,0.000003,-77.425315
Harry,34.767382,,34.767382,-77.425318,0.000004,-77.425314
Lewis,34.767382,,34.767382,-77.425318,0.000005,-77.425313
Hector,34.767382,,34.767382,-77.425318,0.000006,-77.425312
Ben,34.767382,,34.767382,-77.425318,0.000007,-77.425311
Henry,34.767382,,34.767382,-77.425318,0.000008,-77.42531
Lucy,34.767382,,34.767382,-77.425318,0.000009,-77.425309
York,34.767382,,34.767382,-77.425318,0.00001,-77.425308
Carer,34.767382,,34.767382,-77.425318,0.000011,-77.425307
Edmond,34.767382,,34.767382,-77.425318,0.000012,-77.425306
Richard,34.767382,,34.767382,-77.425318,0.000013,-77.425305
Adam,34.767382,,34.767382,-77.425318,0.000014,-77.425304
Hercules,34.767382,,34.767382,-77.425318,0.000015,-77.425303
Solomon,34.767382,,34.767382,-77.425318,0.000016,-77.425302
John,34.767382,,34.767382,-77.425318,0.000017,-77.425301
Calvin,34.767382,,34.767382,-77.425318,0.000018,-77.4253
Washington,34.767382,,34.767382,-77.425318,0.000019,-77.425299
Horace,34.767382,,34.767382,-77.425318,0.00002,-77.425298
Esther,34.857826,0.000001,34.857827,-76.573506,,-76.573506
Cuff,34.857826,0.000002,34.857828,-76.573506,,-76.573506
David,34.857826,0.000003,34.857829,-76.573506,,-76.573506
Moses,34.857826,0.000004,34.85783,-76.573506,,-76.573506
Daniel,34.857826,0.000005,34.857831,-76.573506,,-76.573506
Kate,34.857826,0.000006,34.857832,-76.573506,,-76.573506
Gloster,34.857826,0.000007,34.857833,-76.573506,,-76.573506
Bate,34.857826,0.000008,34.857834,-76.573506,,-76.573506
Grace,34.857826,0.000009,34.857835,-76.573506,,-76.573506
Tom,34.857826,0.00001,34.857836,-76.573506,,-76.573506
Hugh,34.857826,,34.857826,-76.573506,0.000001,-76.573505
Jim,34.857826,,34.857826,-76.573506,0.000002,-76.573504
Isaac,34.857826,,34.857826,-76.573506,0.000003,-76.573503
Alford,34.857826,,34.857826,-76.573506,0.000004,-76.573502
Daniel,35.00733,0.000001,35.007331,-79.723541,,-79.723541
Manual,35.00733,0.000002,35.007332,-79.723541,,-79.723541
Lawrence,35.00733,0.000003,35.007333,-79.723541,,-79.723541
Ben,35.00733,0.000004,35.007334,-79.723541,,-79.723541
Jim,35.00733,0.000005,35.007335,-79.723541,,-79.723541
Carolina,35.00733,0.000006,35.007336,-79.723541,,-79.723541
George,35.00733,0.000007,35.007337,-79.723541,,-79.723541
Wilson,35.00733,,35.00733,-79.723541,0.000001,-79.72354
Jordan,35.00733,,35.00733,-79.723541,0.000002,-79.723539
Jack,35.00733,,35.00733,-79.723541,0.000003,-79.723538
Sarah,35.00733,,35.00733,-79.723541,0.000004,-79.723537
Hannah,35.00733,,35.00733,-79.723541,0.000005,-79.723536
Bob,35.00733,,35.00733,-79.723541,0.000006,-79.723535
Cader,35.00733,,35.00733,-79.723541,0.000007,-79.723534
Simon,35.008521,,35.008521,-78.3185,,-78.3185
Penny,35.237385,0.000001,35.237386,-77.657882,,-77.657882
George,35.237385,0.000002,35.237387,-77.657882,,-77.657882
Providence,35.237385,0.000003,35.237388,-77.657882,,-77.657882
Sukey,35.237385,0.000004,35.237389,-77.657882,,-77.657882
Jerry,35.237385,0.000005,35.23739,-77.657882,,-77.657882
Dimbo,35.237385,0.000006,35.237391,-77.657882,,-77.657882
Lewis,35.237385,0.000007,35.237392,-77.657882,,-77.657882
Isaac,35.237385,0.000008,35.237393,-77.657882,,-77.657882
Kasey,35.237385,0.000009,35.237394,-77.657882,,-77.657882
Scipio,35.237385,0.00001,35.237395,-77.657882,,-77.657882
Ephraim,35.237385,,35.237385,-77.657882,0.000001,-77.657881
Jim,35.237385,,35.237385,-77.657882,0.000002,-77.65788
Millly,35.237385,,35.237385,-77.657882,0.000003,-77.657879
New,35.237385,,35.237385,-77.657882,0.000004,-77.657878
Cullen,35.237385,,35.237385,-77.657882,0.000005,-77.657877
Manuel,35.237385,,35.237385,-77.657882,0.000006,-77.657876
Chloe,35.237385,,35.237385,-77.657882,0.000007,-77.657875
Roxana,35.237385,,35.237385,-77.657882,0.000008,-77.657874
Peter,35.346033,,35.346033,-80.199807,,-80.199807
Jack,35.367308,0.000001,35.367309,-77.986545,,-77.986545
Tom,35.367308,0.000002,35.36731,-77.986545,,-77.986545
Fereby,35.367308,0.000003,35.367311,-77.986545,,-77.986545
Moses,35.367308,0.000004,35.367312,-77.986545,,-77.986545
Jacob,35.367308,0.000005,35.367313,-77.986545,,-77.986545
Ephraim,35.367308,0.000006,35.367314,-77.986545,,-77.986545
Mark,35.367308,0.000007,35.367315,-77.986545,,-77.986545
Peter,35.367308,0.000008,35.367316,-77.986545,,-77.986545
Theophilis,35.367308,0.000009,35.367317,-77.986545,,-77.986545
Robbin,35.367308,0.00001,35.367318,-77.986545,,-77.986545
Calvin,35.367308,,35.367308,-77.986545,0.000001,-77.986544
Levil,35.367308,,35.367308,-77.986545,0.000002,-77.986543
Mary,35.367308,,35.367308,-77.986545,0.000003,-77.986542
Michael,35.367308,,35.367308,-77.986545,0.000004,-77.986541
Bill,35.543253,0.000001,35.543254,-76.287716,,-76.287716
Daniel,35.543253,0.000002,35.543255,-76.287716,,-76.287716
Marting,35.543253,0.000003,35.543256,-76.287716,,-76.287716
Albert,35.543253,,35.543253,-76.287716,0.000001,-76.287715
Abram,35.602455,0.000001,35.602456,-77.373422,,-77.373422
Jim,35.602455,0.000002,35.602457,-77.373422,,-77.373422
Gilford,35.602455,0.000003,35.602458,-77.373422,,-77.373422
Dave,35.602455,0.000004,35.602459,-77.373422,,-77.373422
Peggy,35.602455,0.000005,35.60246,-77.373422,,-77.373422
Mark,35.602455,0.000006,35.602461,-77.373422,,-77.373422
Jacob,35.602455,0.000007,35.602462,-77.373422,,-77.373422
Jerry,35.602455,,35.602455,-77.373422,0.000001,-77.373421
Anderson,35.602455,,35.602455,-77.373422,0.000002,-77.37342
Frank,35.602455,,35.602455,-77.373422,0.000003,-77.373419
Chaney,35.602455,,35.602455,-77.373422,0.000004,-77.373418
Lazarus,35.602455,,35.602455,-77.373422,0.000005,-77.373417
Tom,35.602455,,35.602455,-77.373422,0.000006,-77.373416
Kitt,35.619006,0.000001,35.619007,-80.503229,,-80.503229
Anthony,35.619006,0.000002,35.619008,-80.503229,,-80.503229
Lizza,35.619006,0.000003,35.619009,-80.503229,,-80.503229
Sally,35.619006,0.000004,35.61901,-80.503229,,-80.503229
George,35.619006,0.000005,35.619011,-80.503229,,-80.503229
Davy,35.619006,0.000006,35.619012,-80.503229,,-80.503229
Jacob,35.619006,0.000007,35.619013,-80.503229,,-80.503229
Neptune,35.619006,0.000008,35.619014,-80.503229,,-80.503229
Payton,35.619006,0.000009,35.619015,-80.503229,,-80.503229
Irena,35.619006,0.00001,35.619016,-80.503229,,-80.503229
Anniky,35.619006,0.000011,35.619017,-80.503229,0.000001,-80.503228
Joe,35.619006,0.000012,35.619018,-80.503229,0.000002,-80.503227
Moses,35.619006,0.000013,35.619019,-80.503229,0.000003,-80.503226
Sam,35.619006,0.000014,35.61902,-80.503229,0.000004,-80.503225
Easter,35.619006,,35.619006,-80.503229,0.000005,-80.503224
Zeek,35.619006,,35.619006,-80.503229,0.000006,-80.503223
Scipio,35.619006,,35.619006,-80.503229,0.000007,-80.503222
Tom,35.619006,,35.619006,-80.503229,0.000008,-80.503221
Brister,35.619006,,35.619006,-80.503229,0.000009,-80.50322
Alfred,35.619006,,35.619006,-80.503229,0.00001,-80.503219
Ki,35.619006,,35.619006,-80.503229,0.000011,-80.503218
Bill,35.619006,,35.619006,-80.503229,0.000012,-80.503217
Jack,35.619006,,35.619006,-80.503229,0.000013,-80.503216
